"""Time""","""NEXO / Market Cap Estimated (USD)"""
"""2020-01-26""",61209362.54747177
"""2020-01-27""",66916862.12825887
"""2020-01-28""",71458952.62421769
"""2020-01-29""",77074224.30306977
"""2020-01-30""",80749688.0781389
"""2020-01-31""",81401577.38250147
"""2020-02-01""",85971088.42293803
"""2020-02-02""",88632081.85507642
"""2020-02-03""",85637832.61977883
"""2020-02-04""",82055129.83862065
"""2020-02-05""",89455711.53918247
"""2020-02-06""",95961462.09553285
"""2020-02-07""",99149260.60094313
"""2020-02-08""",99739562.2511877
"""2020-02-09""",106146203.5188298
"""2020-02-10""",103695579.23131591
"""2020-02-11""",111885985.86536181
"""2020-02-12""",126399389.38848719
"""2020-02-13""",125684000.8658951
"""2020-02-14""",125186641.81000753
"""2020-02-15""",114029755.03670631
"""2020-02-16""",114728907.25093484
"""2020-02-17""",113417984.32997675
"""2020-02-18""",112556409.42513141
"""2020-02-19""",106429826.85679749
"""2020-02-20""",105227139.38939422
"""2020-02-21""",108469884.46937872
"""2020-02-22""",107192304.40586051
"""2020-02-23""",112055189.2101814
"""2020-02-24""",102343466.28894919
